sample	chr	slot	var_start	var_len	orig_chr	orig_seg	orient
ref	chr1	0	0	100000	chr1	0	+
ref	chr1	1	100000	100000	chr1	1	+
ref	chr1	2	200000	100000	chr1	2	+
ref	chr1	3	300000	100000	chr1	3	+
ref	chr1	4	400000	100000	chr1	4	+
ref	chr1	5	500000	100000	chr1	5	+
ref	chr1	6	600000	100000	chr1	6	+
ref	chr1	7	700000	100000	chr1	7	+
ref	chr1	8	800000	100000	chr1	8	+
ref	chr1	9	900000	100000	chr1	9	+
ref	chr2	0	0	100000	chr2	0	+
ref	chr2	1	100000	100000	chr2	1	+
ref	chr2	2	200000	100000	chr2	2	+
ref	chr2	3	300000	100000	chr2	3	+
ref	chr2	4	400000	100000	chr2	4	+
ref	chr2	5	500000	100000	chr2	5	+
ref	chr2	6	600000	100000	chr2	6	+
ref	chr2	7	700000	100000	chr2	7	+
ref	chr2	8	800000	100000	chr2	8	+
ref	chr2	9	900000	100000	chr2	9	+
div01	chr1	0	0	100012	chr1	0	+
div01	chr1	1	100012	99973	chr1	1	+
div01	chr1	2	199985	99968	chr1	2	+
div01	chr1	3	299953	100045	chr1	3	+
div01	chr1	4	399998	99970	chr1	4	+
div01	chr1	5	499968	100029	chr1	5	+
div01	chr1	6	599997	100010	chr1	6	+
div01	chr1	7	700007	99985	chr1	7	+
div01	chr1	8	799992	100036	chr1	8	+
div01	chr1	9	900028	99988	chr1	9	+
div01	chr2	0	0	100019	chr2	0	+
div01	chr2	1	100019	99984	chr2	1	+
div01	chr2	2	200003	99968	chr2	2	+
div01	chr2	3	299971	99999	chr2	3	+
div01	chr2	4	399970	99992	chr2	4	+
div01	chr2	5	499962	99980	chr2	5	+
div01	chr2	6	599942	99970	chr2	6	+
div01	chr2	7	699912	99990	chr2	7	+
div01	chr2	8	799902	99989	chr2	8	+
div01	chr2	9	899891	99984	chr2	9	+
div02	chr1	0	0	100009	chr1	0	+
div02	chr1	1	100009	100035	chr1	1	+
div02	chr1	2	200044	100029	chr1	2	+
div02	chr1	3	300073	99985	chr1	3	+
div02	chr1	4	400058	99884	chr1	4	+
div02	chr1	5	499942	100095	chr1	5	+
div02	chr1	6	600037	100012	chr1	6	+
div02	chr1	7	700049	99959	chr1	7	+
div02	chr1	8	800008	100051	chr1	8	+
div02	chr1	9	900059	100003	chr1	9	+
div02	chr2	0	0	100022	chr2	0	+
div02	chr2	1	100022	100025	chr2	1	+
div02	chr2	2	200047	99938	chr2	2	-
div02	chr2	3	299985	100054	chr2	3	+
div02	chr2	4	400039	99968	chr2	4	+
div02	chr2	5	500007	99975	chr2	5	+
div02	chr2	6	599982	100036	chr2	6	+
div02	chr2	7	700018	100041	chr2	7	+
div02	chr2	8	800059	99918	chr2	8	+
div02	chr2	9	899977	99948	chr2	9	+
div05	chr1	0	0	100033	chr1	0	+
div05	chr1	1	100033	100042	chr2	0	+
div05	chr1	2	200075	100070	chr1	2	+
div05	chr1	3	300145	100009	chr1	3	+
div05	chr1	4	400154	100042	chr1	4	+
div05	chr1	5	500196	99869	chr1	5	+
div05	chr1	6	600065	99970	chr1	6	+
div05	chr1	7	700035	100084	chr1	7	+
div05	chr1	8	800119	99994	chr1	8	+
div05	chr1	9	900113	99939	chr1	9	+
div05	chr2	0	0	100004	chr1	1	+
div05	chr2	1	100004	99877	chr2	1	+
div05	chr2	2	199881	100128	chr2	2	-
div05	chr2	3	300009	99925	chr2	3	+
div05	chr2	4	399934	100053	chr2	4	+
div05	chr2	5	499987	100137	chr2	5	-
div05	chr2	6	600124	100052	chr2	6	+
div05	chr2	7	700176	99976	chr2	7	+
div05	chr2	8	800152	99974	chr2	8	+
div05	chr2	9	900126	100091	chr2	9	+
div10	chr1	0	0	100190	chr2	1	+
div10	chr1	1	100190	100242	chr1	1	+
div10	chr1	2	200432	99941	chr1	2	+
div10	chr1	3	300373	100081	chr1	9	+
div10	chr1	4	400454	100171	chr1	4	+
div10	chr1	5	500625	100041	chr1	5	+
div10	chr1	6	600666	99955	chr1	6	-
div10	chr1	7	700621	99927	chr1	7	+
div10	chr1	8	800548	99839	chr1	3	+
div10	chr1	9	900387	100020	chr1	8	+
div10	chr2	0	0	99831	chr2	0	+
div10	chr2	1	99831	100075	chr1	0	+
div10	chr2	2	199906	100050	chr2	2	+
div10	chr2	3	299956	99944	chr2	3	+
div10	chr2	4	399900	99828	chr2	4	+
div10	chr2	5	499728	100126	chr2	5	+
div10	chr2	6	599854	100394	chr2	6	+
div10	chr2	7	700248	99895	chr2	7	+
div10	chr2	8	800143	99976	chr2	8	+
div10	chr2	9	900119	99826	chr2	9	+
div15	chr1	0	0	99788	chr2	1	+
div15	chr1	1	99788	100141	chr1	0	+
div15	chr1	2	199929	99875	chr1	2	+
div15	chr1	3	299804	100189	chr2	2	-
div15	chr1	4	399993	100090	chr1	9	+
div15	chr1	5	500083	99958	chr1	5	+
div15	chr1	6	600041	100063	chr1	7	+
div15	chr1	7	700104	99971	chr1	6	+
div15	chr1	8	800075	100031	chr1	4	+
div15	chr1	9	900106	99997	chr1	8	+
div15	chr2	0	0	99898	chr2	0	+
div15	chr2	1	99898	100105	chr1	1	+
div15	chr2	2	200003	99855	chr1	3	+
div15	chr2	3	299858	100056	chr2	3	+
div15	chr2	4	399914	100143	chr2	8	+
div15	chr2	5	500057	100143	chr2	5	+
div15	chr2	6	600200	100021	chr2	6	+
div15	chr2	7	700221	99934	chr2	4	+
div15	chr2	8	800155	100161	chr2	7	+
div15	chr2	9	900316	99854	chr2	9	+
