sample	chr	window	ref_chr	ref_seg	orient	identity
ref	chr1	0	chr1	0	+	1.0000
ref	chr1	1	chr1	1	+	1.0000
ref	chr1	2	chr1	2	+	1.0000
ref	chr1	3	chr1	3	+	1.0000
ref	chr1	4	chr1	4	+	1.0000
ref	chr1	5	chr1	5	+	1.0000
ref	chr1	6	chr1	6	+	1.0000
ref	chr1	7	chr1	7	+	1.0000
ref	chr1	8	chr1	8	+	1.0000
ref	chr1	9	chr1	9	+	1.0000
ref	chr2	0	chr2	0	+	1.0000
ref	chr2	1	chr2	1	+	1.0000
ref	chr2	2	chr2	2	+	1.0000
ref	chr2	3	chr2	3	+	1.0000
ref	chr2	4	chr2	4	+	1.0000
ref	chr2	5	chr2	5	+	1.0000
ref	chr2	6	chr2	6	+	1.0000
ref	chr2	7	chr2	7	+	1.0000
ref	chr2	8	chr2	8	+	1.0000
ref	chr2	9	chr2	9	+	1.0000
div01	chr1	0	chr1	0	+	0.9930
div01	chr1	1	chr1	1	+	0.9870
div01	chr1	2	chr1	2	+	0.9880
div01	chr1	3	chr1	3	+	0.9860
div01	chr1	4	chr1	4	+	0.9890
div01	chr1	5	chr1	5	+	0.9830
div01	chr1	6	chr1	6	+	0.9910
div01	chr1	7	chr1	7	+	0.9820
div01	chr1	8	chr1	8	+	0.9900
div01	chr1	9	chr1	9	+	0.9920
div01	chr2	0	chr2	0	+	0.9880
div01	chr2	1	chr2	1	+	0.9870
div01	chr2	2	chr2	2	+	0.9900
div01	chr2	3	chr2	3	+	0.9940
div01	chr2	4	chr2	4	+	0.9890
div01	chr2	5	chr2	5	+	0.9880
div01	chr2	6	chr2	6	+	0.9900
div01	chr2	7	chr2	7	+	0.9890
div01	chr2	8	chr2	8	+	0.9870
div01	chr2	9	chr2	9	+	0.9890
div02	chr1	0	chr1	0	+	0.9770
div02	chr1	1	chr1	1	+	0.9740
div02	chr1	2	chr1	2	+	0.9740
div02	chr1	3	chr1	3	+	0.9770
div02	chr1	4	chr2	6	+	0.9810
div02	chr1	5	chr1	5	+	0.9840
div02	chr1	6	chr1	6	+	0.9740
div02	chr1	7	chr1	7	+	0.9800
div02	chr1	8	chr1	8	+	0.9850
div02	chr1	9	chr1	9	+	0.9780
div02	chr2	0	chr2	0	+	0.9810
div02	chr2	1	chr2	1	+	0.9820
div02	chr2	2	chr2	2	+	0.9780
div02	chr2	3	chr2	3	+	0.9770
div02	chr2	4	chr2	4	+	0.9740
div02	chr2	5	chr2	5	+	0.9820
div02	chr2	6	chr1	4	+	0.9770
div02	chr2	7	chr2	7	+	0.9840
div02	chr2	8	chr2	8	+	0.9830
div02	chr2	9	chr2	9	+	0.9820
div05	chr1	0	chr1	7	+	0.9530
div05	chr1	1	chr1	1	+	0.9560
div05	chr1	2	chr1	2	+	0.9440
div05	chr1	3	chr1	3	+	0.9450
div05	chr1	4	chr1	4	+	0.9470
div05	chr1	5	chr2	7	+	0.9480
div05	chr1	6	chr1	6	+	0.9550
div05	chr1	7	chr1	0	+	0.9460
div05	chr1	8	chr1	8	+	0.9460
div05	chr1	9	chr1	9	-	0.9590
div05	chr2	0	chr2	0	+	0.9460
div05	chr2	1	chr2	1	+	0.9500
div05	chr2	2	chr2	2	+	0.9480
div05	chr2	3	chr2	3	+	0.9510
div05	chr2	4	chr2	4	+	0.9470
div05	chr2	5	chr2	5	+	0.9520
div05	chr2	6	chr2	6	+	0.9470
div05	chr2	7	chr1	5	+	0.9530
div05	chr2	8	chr2	8	+	0.9450
div05	chr2	9	chr2	9	+	0.9510
div10	chr1	0	chr1	9	+	0.8830
div10	chr1	1	chr1	8	+	0.8930
div10	chr1	2	chr1	2	+	0.9000
div10	chr1	3	chr1	3	+	0.9100
div10	chr1	4	chr1	4	+	0.8970
div10	chr1	5	chr1	5	+	0.9060
div10	chr1	6	chr2	3	+	0.8850
div10	chr1	7	chr1	7	+	0.9020
div10	chr1	8	chr2	1	+	0.8990
div10	chr1	9	chr1	6	-	0.8930
div10	chr2	0	chr2	0	+	0.9000
div10	chr2	1	chr1	1	+	0.9120
div10	chr2	2	chr2	2	+	0.8990
div10	chr2	3	chr1	0	+	0.9020
div10	chr2	4	chr2	4	+	0.9100
div10	chr2	5	chr2	5	+	0.9020
div10	chr2	6	chr2	6	+	0.8890
div10	chr2	7	chr2	7	+	0.9090
div10	chr2	8	chr2	8	+	0.9130
div10	chr2	9	chr2	9	+	0.9140
div15	chr1	0	chr2	0	+	0.8470
div15	chr1	1	chr1	4	+	0.8630
div15	chr1	2	chr2	2	+	0.8790
div15	chr1	3	chr1	3	+	0.8520
div15	chr1	4	chr1	1	+	0.8390
div15	chr1	5	chr1	5	+	0.8230
div15	chr1	6	chr1	6	+	0.8440
div15	chr1	7	chr2	9	-	0.8580
div15	chr1	8	chr1	8	+	0.8670
div15	chr1	9	chr1	7	-	0.8640
div15	chr2	0	chr1	0	+	0.8420
div15	chr2	1	chr2	1	+	0.8620
div15	chr2	2	chr2	8	+	0.8390
div15	chr2	3	chr2	3	+	0.8460
div15	chr2	4	chr1	2	+	0.8500
div15	chr2	5	chr2	5	+	0.8520
div15	chr2	6	chr2	6	+	0.8490
div15	chr2	7	chr2	7	+	0.8400
div15	chr2	8	chr2	4	+	0.8490
div15	chr2	9	chr1	9	+	0.8560
