sample	chr	window	identity	window_bases
ref	chr1	0	1.0000	1000
ref	chr1	1	1.0000	1000
ref	chr1	2	1.0000	1000
ref	chr1	3	1.0000	1000
ref	chr1	4	1.0000	1000
ref	chr1	5	1.0000	1000
ref	chr1	6	1.0000	1000
ref	chr1	7	1.0000	1000
ref	chr1	8	1.0000	1000
ref	chr1	9	1.0000	1000
ref	chr2	0	1.0000	1000
ref	chr2	1	1.0000	1000
ref	chr2	2	1.0000	1000
ref	chr2	3	1.0000	1000
ref	chr2	4	1.0000	1000
ref	chr2	5	1.0000	1000
ref	chr2	6	1.0000	1000
ref	chr2	7	1.0000	1000
ref	chr2	8	1.0000	1000
ref	chr2	9	1.0000	1000
div01	chr1	0	0.9930	1000
div01	chr1	1	0.9870	1000
div01	chr1	2	0.9880	1000
div01	chr1	3	0.9860	1000
div01	chr1	4	0.9890	1000
div01	chr1	5	0.9830	1000
div01	chr1	6	0.9910	1000
div01	chr1	7	0.9820	1000
div01	chr1	8	0.9900	1000
div01	chr1	9	0.9920	1000
div01	chr2	0	0.9880	1000
div01	chr2	1	0.9870	1000
div01	chr2	2	0.9900	1000
div01	chr2	3	0.9940	1000
div01	chr2	4	0.9890	1000
div01	chr2	5	0.9880	1000
div01	chr2	6	0.9900	1000
div01	chr2	7	0.9890	1000
div01	chr2	8	0.9870	1000
div01	chr2	9	0.9890	1000
div02	chr1	0	0.9770	1000
div02	chr1	1	0.9740	1000
div02	chr1	2	0.9740	1000
div02	chr1	3	0.9580	1000
div02	chr1	4	0.0000	1000
div02	chr1	5	0.9560	1000
div02	chr1	6	0.9740	1000
div02	chr1	7	0.9800	1000
div02	chr1	8	0.9850	1000
div02	chr1	9	0.9780	1000
div02	chr2	0	0.9810	1000
div02	chr2	1	0.9820	1000
div02	chr2	2	0.9780	1000
div02	chr2	3	0.9770	1000
div02	chr2	4	0.9740	1000
div02	chr2	5	0.9820	1000
div02	chr2	6	0.0000	1000
div02	chr2	7	0.9840	1000
div02	chr2	8	0.9830	1000
div02	chr2	9	0.9820	1000
div05	chr1	0	0.0020	1000
div05	chr1	1	0.9560	1000
div05	chr1	2	0.9440	1000
div05	chr1	3	0.9450	1000
div05	chr1	4	0.9470	1000
div05	chr1	5	0.0000	1000
div05	chr1	6	0.8770	1000
div05	chr1	7	0.0020	1000
div05	chr1	8	0.9220	1000
div05	chr1	9	0.0000	1000
div05	chr2	0	0.9460	1000
div05	chr2	1	0.9500	1000
div05	chr2	2	0.9480	1000
div05	chr2	3	0.9510	1000
div05	chr2	4	0.9470	1000
div05	chr2	5	0.9520	1000
div05	chr2	6	0.9470	1000
div05	chr2	7	0.0010	1000
div05	chr2	8	0.9450	1000
div05	chr2	9	0.9510	1000
div10	chr1	0	0.0000	1000
div10	chr1	1	0.0000	1000
div10	chr1	2	0.0000	1000
div10	chr1	3	0.0000	1000
div10	chr1	4	0.0000	1000
div10	chr1	5	0.0000	1000
div10	chr1	6	0.0000	1000
div10	chr1	7	0.0000	1000
div10	chr1	8	0.0000	1000
div10	chr1	9	0.0000	1000
div10	chr2	0	0.0000	1000
div10	chr2	1	0.0000	1000
div10	chr2	2	0.0000	1000
div10	chr2	3	0.0000	1000
div10	chr2	4	0.0000	1000
div10	chr2	5	0.0000	1000
div10	chr2	6	0.0000	1000
div10	chr2	7	0.0000	1000
div10	chr2	8	0.0000	1000
div10	chr2	9	0.0000	1000
div15	chr1	0	0.0000	1000
div15	chr1	1	0.0000	1000
div15	chr1	2	0.0000	1000
div15	chr1	3	0.0000	1000
div15	chr1	4	0.0000	1000
div15	chr1	5	0.0000	1000
div15	chr1	6	0.0000	1000
div15	chr1	7	0.0000	1000
div15	chr1	8	0.0000	1000
div15	chr1	9	0.0000	1000
div15	chr2	0	0.0000	1000
div15	chr2	1	0.0000	1000
div15	chr2	2	0.0000	1000
div15	chr2	3	0.0000	1000
div15	chr2	4	0.0000	1000
div15	chr2	5	0.0000	1000
div15	chr2	6	0.0000	1000
div15	chr2	7	0.0000	1000
div15	chr2	8	0.0000	1000
div15	chr2	9	0.0000	1000
