sample	chr	slot	var_start	var_len	orig_chr	orig_seg	orient
ref	chr1	0	0	1000	chr1	0	+
ref	chr1	1	1000	1000	chr1	1	+
ref	chr1	2	2000	1000	chr1	2	+
ref	chr1	3	3000	1000	chr1	3	+
ref	chr1	4	4000	1000	chr1	4	+
ref	chr1	5	5000	1000	chr1	5	+
ref	chr1	6	6000	1000	chr1	6	+
ref	chr1	7	7000	1000	chr1	7	+
ref	chr1	8	8000	1000	chr1	8	+
ref	chr1	9	9000	1000	chr1	9	+
ref	chr2	0	0	1000	chr2	0	+
ref	chr2	1	1000	1000	chr2	1	+
ref	chr2	2	2000	1000	chr2	2	+
ref	chr2	3	3000	1000	chr2	3	+
ref	chr2	4	4000	1000	chr2	4	+
ref	chr2	5	5000	1000	chr2	5	+
ref	chr2	6	6000	1000	chr2	6	+
ref	chr2	7	7000	1000	chr2	7	+
ref	chr2	8	8000	1000	chr2	8	+
ref	chr2	9	9000	1000	chr2	9	+
div01	chr1	0	0	993	chr1	0	+
div01	chr1	1	993	1001	chr1	1	+
div01	chr1	2	1994	1001	chr1	2	+
div01	chr1	3	2995	1000	chr1	3	+
div01	chr1	4	3995	1004	chr1	4	+
div01	chr1	5	4999	998	chr1	5	+
div01	chr1	6	5997	1003	chr1	6	+
div01	chr1	7	7000	1007	chr1	7	+
div01	chr1	8	8007	998	chr1	8	+
div01	chr1	9	9005	1000	chr1	9	+
div01	chr2	0	0	1000	chr2	0	+
div01	chr2	1	1000	1001	chr2	1	+
div01	chr2	2	2001	1000	chr2	2	+
div01	chr2	3	3001	1005	chr2	3	+
div01	chr2	4	4006	997	chr2	4	+
div01	chr2	5	5003	995	chr2	5	+
div01	chr2	6	5998	997	chr2	6	+
div01	chr2	7	6995	1000	chr2	7	+
div01	chr2	8	7995	1013	chr2	8	+
div01	chr2	9	9008	996	chr2	9	+
div02	chr1	0	0	1001	chr1	0	+
div02	chr1	1	1001	997	chr1	1	+
div02	chr1	2	1998	998	chr1	2	+
div02	chr1	3	2996	1008	chr1	3	+
div02	chr1	4	4004	999	chr1	4	+
div02	chr1	5	5003	994	chr1	5	+
div02	chr1	6	5997	1001	chr1	6	+
div02	chr1	7	6998	1001	chr1	7	+
div02	chr1	8	7999	1001	chr1	8	+
div02	chr1	9	9000	996	chr1	9	+
div02	chr2	0	0	1003	chr2	1	+
div02	chr2	1	1003	1000	chr2	0	+
div02	chr2	2	2003	1005	chr2	2	+
div02	chr2	3	3008	999	chr2	3	+
div02	chr2	4	4007	998	chr2	4	+
div02	chr2	5	5005	1008	chr2	5	+
div02	chr2	6	6013	1004	chr2	6	+
div02	chr2	7	7017	1000	chr2	7	+
div02	chr2	8	8017	999	chr2	8	+
div02	chr2	9	9016	998	chr2	9	+
div05	chr1	0	0	1000	chr1	0	+
div05	chr1	1	1000	1007	chr1	1	+
div05	chr1	2	2007	1003	chr1	2	+
div05	chr1	3	3010	999	chr1	3	+
div05	chr1	4	4009	998	chr1	4	+
div05	chr1	5	5007	1010	chr1	5	+
div05	chr1	6	6017	1001	chr1	6	+
div05	chr1	7	7018	993	chr2	0	+
div05	chr1	8	8011	1010	chr1	8	+
div05	chr1	9	9021	995	chr1	9	+
div05	chr2	0	0	988	chr1	7	-
div05	chr2	1	988	993	chr2	1	+
div05	chr2	2	1981	1005	chr2	2	+
div05	chr2	3	2986	994	chr2	3	+
div05	chr2	4	3980	1006	chr2	8	+
div05	chr2	5	4986	1008	chr2	5	+
div05	chr2	6	5994	1004	chr2	6	+
div05	chr2	7	6998	994	chr2	7	+
div05	chr2	8	7992	998	chr2	4	+
div05	chr2	9	8990	1014	chr2	9	+
div10	chr1	0	0	985	chr1	0	+
div10	chr1	1	985	993	chr1	1	+
div10	chr1	2	1978	1002	chr1	7	+
div10	chr1	3	2980	1006	chr1	3	+
div10	chr1	4	3986	1022	chr2	8	-
div10	chr1	5	5008	1013	chr1	5	+
div10	chr1	6	6021	1010	chr1	6	+
div10	chr1	7	7031	1005	chr1	2	+
div10	chr1	8	8036	999	chr1	8	+
div10	chr1	9	9035	988	chr1	9	+
div10	chr2	0	0	1003	chr2	3	+
div10	chr2	1	1003	1000	chr2	1	+
div10	chr2	2	2003	1014	chr2	2	+
div10	chr2	3	3017	1002	chr2	0	-
div10	chr2	4	4019	1000	chr2	4	+
div10	chr2	5	5019	1000	chr2	5	+
div10	chr2	6	6019	999	chr2	6	+
div10	chr2	7	7018	978	chr2	7	-
div10	chr2	8	7996	1020	chr1	4	+
div10	chr2	9	9016	1007	chr2	9	+
div15	chr1	0	0	996	chr1	7	+
div15	chr1	1	996	1016	chr1	1	+
div15	chr1	2	2012	990	chr1	2	+
div15	chr1	3	3002	1024	chr1	3	+
div15	chr1	4	4026	1003	chr1	4	+
div15	chr1	5	5029	981	chr1	8	+
div15	chr1	6	6010	1009	chr1	6	+
div15	chr1	7	7019	1001	chr1	0	+
div15	chr1	8	8020	1001	chr1	5	-
div15	chr1	9	9021	1013	chr1	9	+
div15	chr2	0	0	1011	chr2	9	+
div15	chr2	1	1011	1003	chr2	1	+
div15	chr2	2	2014	1008	chr2	0	+
div15	chr2	3	3022	989	chr2	3	-
div15	chr2	4	4011	1026	chr2	4	+
div15	chr2	5	5037	999	chr2	5	+
div15	chr2	6	6036	1031	chr2	6	+
div15	chr2	7	7067	1013	chr2	7	-
div15	chr2	8	8080	1001	chr2	8	+
div15	chr2	9	9081	995	chr2	2	+
